tinestamp,car1_utm_x,car1_utm_y,car1_vel,car1_accel,car1_yaw,car2_utm_x,car2_utm_y,car2_vel_x,car2_vel_y,car2_accel,car2_yaw,estimate_utm_x,estimate_utm_y,estimate_vel_x,estimate_vel_y,estimate_accel,estimate_yaw
1609832174,60205.86566,2974186.209,-0.005023918,-0.007324219,2.034168243,60199.73137,2974199.37,0.010830615,0.01527515,0.052853027,2.007123646,60200.06873,2974198.672,-0.008448854,-0.002239282,-0.035967321,#NAME?
1609832174,60205.86402,2974186.208,-0.005973337,-0.025024414,2.034136772,60199.73256,2974199.371,0.011776241,0.015664535,0.03454248,2.007163061,60200.07609,2974198.675,-0.007672288,-0.018034065,-0.036935343,#NAME?
1609832174,60205.86208,2974186.207,-0.006879306,-0.004730225,2.034160376,60199.73189,2974199.37,0.003065767,0.005902471,0.012569824,2.007103938,60200.05554,2974198.662,-0.015508365,0.020368875,-0.010148931,#NAME?
1609832174,60205.86079,2974186.206,-0.008743539,-0.011901855,2.034190655,60199.72921,2974199.367,0.003643077,0.006873937,0.029812256,2.007186496,60200.07886,2974198.676,-0.004596899,-0.020665326,-0.010312793,#NAME?
1609832174,60205.86161,2974186.207,-0.010190619,-0.025482178,2.034165621,60199.72667,2974199.364,0.005117993,0.008790613,0.01577417,2.00717904,60200.06054,2974198.664,-0.007316767,0.031298749,0.029579184,#NAME?
1609832175,60205.86237,2974186.207,-0.010557036,-0.004730225,2.034220934,60199.72733,2974199.365,0.006815843,0.010837506,0.043087402,2.007327644,60200.0436,2974198.661,0.010288746,0.03705591,0.003342791,#NAME?
1609832175,60205.86306,2974186.208,-0.011481564,-0.01739502,2.034258366,60199.72807,2974199.366,0.007033561,0.011695427,0.059414307,2.007327644,60200.04586,2974198.657,-0.001789866,0.089508778,0.030980243,#NAME?
1609832175,60205.86372,2974186.209,-0.013389735,-0.014648438,2.034313679,60199.72887,2974199.368,0.007988509,0.012526293,0.013332764,2.00742405,60200.05902,2974198.669,0.011264864,0.040762774,0.021215784,#NAME?
1609832175,60205.86463,2974186.21,-0.014438327,-0.01159668,2.03425622,60199.72978,2974199.369,0.009425208,0.014017237,-0.010928711,2.007372918,60200.05551,2974198.671,0.015193579,0.004177501,0.015947218,#NAME?
1609832175,60205.86599,2974186.211,-0.014559468,-0.007171631,2.034215212,60199.73077,2974199.37,0.009641096,0.015371836,0.021267334,2.007365993,60200.05304,2974198.661,0.005938445,-0.003867933,-0.003994469,#NAME?
1609832175,60205.86701,2974186.212,-0.004247804,-0.005645752,2.034162283,60199.73191,2974199.372,0.011694904,0.01788787,0.030880371,2.0073106,60200.05607,2974198.667,0.003572129,0.010947785,-0.050092311,#NAME?
1609832175,60205.86502,2974186.21,-0.009702079,-0.00289917,2.034080982,60199.73321,2974199.374,0.012696403,0.019020602,0.040798584,2.007303143,60200.06271,2974198.664,-0.01917251,0.010094134,-0.010655545,#NAME?
1609832175,60205.86285,2974186.209,-0.016738834,-0.055999756,2.034144163,60199.73253,2974199.373,0.003127438,0.006120998,0.05773584,2.007203541,60200.05541,2974198.668,0.001874525,0.017507465,-0.024766621,#NAME?
1609832175,60205.86017,2974186.209,-0.016232909,-0.113677979,2.034096241,60199.72977,2974199.369,0.005065527,0.007715096,0.034695068,2.007227509,60200.05709,2974198.663,-0.003372906,0.008378548,0.016012713,#NAME?
1609832175,60205.86024,2974186.21,-0.008049203,0.05355835,2.034065008,60199.72722,2974199.365,0.0070922,0.010069016,-0.001010498,2.007215259,60200.04573,2974198.658,0.009529028,0.03966388,-0.004516207,#NAME?
1609832176,60205.86081,2974186.211,-0.009125522,0.111999512,2.034030914,60199.72808,2974199.366,0.008741553,0.010854317,0.039730469,2.007260532,60200.03798,2974198.657,0.011318326,0.051114954,0.012427974,#NAME?
1609832176,60205.86152,2974186.211,-0.01079236,-0.030822754,2.034025431,60199.72895,2974199.368,0.008191176,0.01172993,0.025387207,2.007188627,60200.05062,2974198.663,0.006145211,0.028367775,-0.018857349,#NAME?
1609832176,60205.86228,2974186.211,-0.012570529,-0.135040283,2.033977985,60199.72989,2974199.369,0.009722415,0.014221651,0.008907715,2.00721952,60200.05445,2974198.658,-0.018049049,0.004435176,-0.012262883,#NAME?
1609832176,60205.86284,2974186.212,-0.012169909,-0.020141602,2.033913612,60199.73109,2974199.37,0.012612562,0.015887525,0.056362549,2.007216856,60200.04957,2974198.66,-0.007384575,-0.007303921,-0.018969658,#NAME?
1609832176,60205.86429,2974186.213,-0.014760203,0.059661865,2.033922672,60199.73243,2974199.372,0.012687057,0.017108107,0.036373535,2.007213661,60200.06506,2974198.666,-0.005842156,-0.028061924,0.042003807,#NAME?
1609832176,60205.86546,2974186.213,-0.005591571,0.056152344,2.033943892,60199.73375,2974199.374,0.012804767,0.018301273,0.01501123,2.007173181,60200.07782,2974198.679,0.01885896,-0.063622536,0.036318429,#NAME?
1609832176,60205.86454,2974186.211,-0.004025096,-0.105285645,2.033906221,60199.73522,2974199.375,0.015330767,0.019743696,0.042324463,2.00725201,60200.05949,2974198.667,0.007203324,-0.027440186,0.050570876,#NAME?
1609832176,60205.86217,2974186.207,-0.005201287,-0.043182373,2.033961535,60199.73453,2974199.374,0.005690909,0.007317803,0.007381836,2.007230172,60200.05282,2974198.665,0.008739812,0.013472658,0.017054258,#NAME?
1609832176,60205.86122,2974186.205,-0.00563282,-0.015563965,2.033896685,60199.73142,2974199.37,0.005762581,0.008314963,0.015926758,2.007227509,60200.05967,2974198.668,0.009835058,0.043905387,0.028906188,#NAME?
1609832176,60205.86168,2974186.205,-0.006404553,0.016174316,2.033889055,60199.72836,2974199.366,0.006732149,0.00904071,0.069790283,2.007225379,60200.0649,2974198.671,0.017424454,0.004952406,0.034610884,#NAME?
